symbol,start_date,end_date
AAVEUSD_PERP,2021-12-01,
ADAUSD_200925,2020-07-01,2020-09-26
ADAUSD_201225,2020-09-01,2020-12-26
ADAUSD_210326,2020-09-01,2021-03-27
ADAUSD_210625,2020-12-01,2021-06-26
ADAUSD_210924,2021-03-01,2021-09-25
ADAUSD_211231,2021-06-01,2021-12-31
ADAUSD_220325,2021-09-01,2022-03-26
ADAUSD_220624,2021-12-01,2022-06-25
ADAUSD_220930,2022-03-01,2022-09-30
ADAUSD_221230,2022-06-01,2022-12-31
ADAUSD_230331,2022-09-01,2023-03-31
ADAUSD_230630,2022-12-01,2023-06-30
ADAUSD_230929,2023-03-01,2023-09-30
ADAUSD_231229,2023-06-01,2023-12-30
ADAUSD_240329,2023-09-01,2024-03-30
ADAUSD_240628,2023-12-01,
ADAUSD_240927,2024-03-01,
ADAUSD_PERP,2020-08-01,
ALGOUSD_PERP,2022-03-01,
APEUSD_PERP,2022-03-01,
APTUSD_PERP,2022-10-01,
ATOMUSD_PERP,2021-12-01,
AVAXUSD_PERP,2021-11-01,
AXSUSD_PERP,2022-01-01,
BCHUSD_201225,2020-12-01,2020-12-26
BCHUSD_210326,2020-12-01,2021-03-27
BCHUSD_210625,2020-12-01,2021-06-26
BCHUSD_210924,2021-03-01,2021-09-25
BCHUSD_211231,2021-06-01,2021-12-31
BCHUSD_220325,2021-09-01,2022-03-26
BCHUSD_220624,2021-12-01,2022-06-25
BCHUSD_220930,2022-03-01,2022-09-30
BCHUSD_221230,2022-06-01,2022-12-31
BCHUSD_230331,2022-09-01,2023-03-31
BCHUSD_230630,2022-12-01,2023-06-30
BCHUSD_230929,2023-03-01,2023-09-30
BCHUSD_231229,2023-06-01,2023-12-30
BCHUSD_240329,2023-09-01,2024-03-30
BCHUSD_240628,2023-12-01,
BCHUSD_240927,2024-03-01,
BCHUSD_PERP,2020-09-01,
BNBUSD_201225,2020-11-01,2020-12-26
BNBUSD_210326,2020-11-01,2021-03-27
BNBUSD_210625,2020-12-01,2021-06-26
BNBUSD_210924,2021-03-01,2021-09-25
BNBUSD_211231,2021-06-01,2021-12-31
BNBUSD_220325,2021-09-01,2022-03-26
BNBUSD_220624,2021-12-01,2022-06-25
BNBUSD_220930,2022-03-01,2022-09-30
BNBUSD_221230,2022-06-01,2022-12-31
BNBUSD_230331,2022-09-01,2023-03-31
BNBUSD_230630,2022-12-01,2023-06-30
BNBUSD_230929,2023-03-01,2023-09-30
BNBUSD_231229,2023-06-01,2023-12-30
BNBUSD_240329,2023-09-01,2024-03-30
BNBUSD_240628,2023-12-01,
BNBUSD_240927,2024-03-01,
BNBUSD_PERP,2020-08-01,
BTCUSD_200925,2020-06-01,2020-09-26
BTCUSD_201225,2020-07-01,2020-12-26
BTCUSD_210326,2020-09-01,2021-03-27
BTCUSD_210625,2020-12-01,2021-06-26
BTCUSD_210924,2021-03-01,2021-09-25
BTCUSD_211231,2021-06-01,2021-12-31
BTCUSD_220325,2021-09-01,2022-03-26
BTCUSD_220624,2021-12-01,2022-06-25
BTCUSD_220930,2022-03-01,2022-09-30
BTCUSD_221230,2022-06-01,2022-12-31
BTCUSD_230331,2022-09-01,2023-03-31
BTCUSD_230630,2022-12-01,2023-06-30
BTCUSD_230929,2023-03-01,2023-09-30
BTCUSD_231229,2023-06-01,2023-12-30
BTCUSD_240329,2023-09-01,2024-03-30
BTCUSD_240628,2023-12-01,
BTCUSD_240927,2024-03-01,
BTCUSD_PERP,2020-08-01,
CHZUSD_PERP,2022-08-01,
CRVUSD_PERP,2022-01-01,2022-06-30
DOGEUSD_PERP,2021-02-01,
DOTUSD_201225,2020-11-01,2020-12-26
DOTUSD_210326,2020-11-01,2021-03-27
DOTUSD_210625,2020-12-01,2021-06-26
DOTUSD_210924,2021-03-01,2021-09-25
DOTUSD_211231,2021-06-01,2021-12-31
DOTUSD_220325,2021-09-01,2022-03-26
DOTUSD_220624,2021-12-01,2022-06-25
DOTUSD_220930,2022-03-01,2022-09-30
DOTUSD_221230,2022-06-01,2022-12-31
DOTUSD_230331,2022-09-01,2023-03-31
DOTUSD_230630,2022-12-01,2023-06-30
DOTUSD_230929,2023-03-01,2023-09-30
DOTUSD_231229,2023-06-01,2023-12-30
DOTUSD_240329,2023-09-01,2024-03-30
DOTUSD_240628,2023-12-01,
DOTUSD_240927,2024-03-01,
DOTUSD_PERP,2020-08-01,
EGLDUSD_PERP,2020-12-01,
ENSUSD_PERP,2022-08-01,
EOSUSD_201225,2020-12-01,2020-12-26
EOSUSD_210326,2020-12-01,2021-01-31
EOSUSD_PERP,2020-09-01,
ETCUSD_201225,2020-12-01,2020-12-26
ETCUSD_210326,2020-12-01,2021-01-31
ETCUSD_PERP,2020-09-01,
ETHUSD_200925,2020-07-01,2020-09-26
ETHUSD_201225,2020-08-01,2020-12-26
ETHUSD_210326,2020-09-01,2021-03-27
ETHUSD_210625,2020-12-01,2021-06-26
ETHUSD_210924,2021-03-01,2021-09-25
ETHUSD_211231,2021-06-01,2021-12-31
ETHUSD_220325,2021-09-01,2022-03-26
ETHUSD_220624,2021-12-01,2022-06-25
ETHUSD_220930,2022-03-01,2022-09-30
ETHUSD_221230,2022-06-01,2022-12-31
ETHUSD_230331,2022-09-01,2023-03-31
ETHUSD_230630,2022-12-01,2023-06-30
ETHUSD_230929,2023-03-01,2023-09-30
ETHUSD_231229,2023-06-01,2023-12-30
ETHUSD_240329,2023-09-01,2024-03-30
ETHUSD_240628,2023-12-01,
ETHUSD_240927,2024-03-01,
ETHUSD_PERP,2020-08-01,
FILUSD_201225,2020-12-01,2020-12-26
FILUSD_210326,2020-12-01,2021-03-27
FILUSD_PERP,2020-10-01,
FTMUSD_PERP,2021-11-01,
GALAUSD_PERP,2021-12-01,
GMTUSD_PERP,2022-04-01,
ICXUSD_PERP,2022-03-01,
KNCUSD_PERP,2022-04-01,
LINKUSD_200925,2020-07-01,2020-09-26
LINKUSD_201225,2020-09-01,2020-12-26
LINKUSD_210326,2020-09-01,2021-03-27
LINKUSD_210625,2020-12-01,2021-06-26
LINKUSD_210924,2021-03-01,2021-09-25
LINKUSD_211231,2021-06-01,2021-12-31
LINKUSD_220325,2021-09-01,2022-03-26
LINKUSD_220624,2021-12-01,2022-06-25
LINKUSD_220930,2022-03-01,2022-09-30
LINKUSD_221230,2022-06-01,2022-12-31
LINKUSD_230331,2022-09-01,2023-03-31
LINKUSD_230630,2022-12-01,2023-06-30
LINKUSD_230929,2023-03-01,2023-09-30
LINKUSD_231229,2023-06-01,2023-12-30
LINKUSD_240329,2023-09-01,2024-03-30
LINKUSD_240628,2023-12-01,
LINKUSD_240927,2024-03-01,
LINKUSD_PERP,2020-08-01,
LTCUSD_201225,2020-12-01,2020-12-26
LTCUSD_210326,2020-12-01,2021-03-27
LTCUSD_210625,2020-12-01,2021-06-26
LTCUSD_210924,2021-03-01,2021-09-25
LTCUSD_211231,2021-06-01,2021-12-31
LTCUSD_220325,2021-09-01,2022-03-26
LTCUSD_220624,2021-12-01,2022-06-25
LTCUSD_220930,2022-03-01,2022-09-30
