symbol,start_date,end_date
1000SATSFDUSD,2023-12-01,
1000SATSTRY,2023-12-01,
1000SATSUSDT,2023-12-01,
1INCHBTC,2020-12-01,
1INCHBUSD,2021-02-01,2023-10-31
1INCHDOWNUSDT,2021-04-01,2021-12-31
1INCHUPUSDT,2021-04-01,2021-12-31
1INCHUSDT,2020-12-01,
AAVEBKRW,2020-10-01,2021-01-31
AAVEBNB,2020-10-01,
AAVEBRL,2021-07-01,2021-09-30
AAVEBTC,2020-10-01,
AAVEBUSD,2020-10-01,2023-11-30
AAVEDOWNUSDT,2020-11-01,2021-11-30
AAVEETH,2020-10-01,
AAVETRY,2024-03-01,
AAVEUPUSDT,2020-11-01,2021-11-30
AAVEUSDT,2020-10-01,
ACABTC,2022-01-01,
ACABUSD,2022-01-01,2023-09-30
ACATRY,2023-07-01,
ACAUSDT,2022-01-01,
ACEBNB,2023-12-01,
ACEBTC,2023-12-01,
ACEFDUSD,2023-12-01,
ACETRY,2023-12-01,
ACEUSDT,2023-12-01,
ACHBTC,2022-01-01,
ACHBUSD,2022-01-01,2023-10-31
ACHTRY,2023-04-01,
ACHUSDT,2022-01-01,
ACMBTC,2021-02-01,2023-04-30
ACMBUSD,2021-02-01,2023-07-31
ACMTRY,2023-08-01,
ACMUSDT,2021-02-01,
ADAAUD,2021-03-01,2023-06-30
ADABIDR,2021-06-01,2023-09-30
ADABKRW,2020-07-01,2021-01-31
ADABNB,2018-04-01,
ADABRL,2021-02-01,
ADABTC,2017-11-01,
ADABUSD,2019-11-01,2023-12-31
ADADOWNUSDT,2020-07-01,2023-08-31
ADAETH,2017-11-01,
ADAEUR,2020-11-01,
ADAFDUSD,2023-10-01,
ADAGBP,2021-02-01,2023-12-31
ADAPAX,2019-03-01,2020-04-30
ADARUB,2021-03-01,2023-11-30
ADATRY,2021-02-01,
ADATUSD,2018-12-01,
ADAUPUSDT,2020-07-01,2023-08-31
ADAUSDC,2019-03-01,
ADAUSDT,2018-04-01,
ADXBNB,2017-11-01,2019-12-31
ADXBTC,2017-11-01,
ADXBUSD,2021-07-01,2023-10-31
ADXETH,2017-11-01,
ADXUSDT,2021-10-01,
AEBNB,2018-02-01,2020-03-31
AEBTC,2018-02-01,2020-12-31
AEETH,2018-02-01,2020-11-30
AERGOBTC,2020-10-01,2024-03-31
AERGOBUSD,2020-10-01,2023-10-31
AERGOUSDT,2023-05-01,
AEURUSDT,2023-12-01,
AEVOBNB,2024-03-01,
AEVOBTC,2024-03-01,
AEVOFDUSD,2024-03-01,
AEVOTRY,2024-03-01,
AEVOUSDT,2024-03-01,
AGIBNB,2018-06-01,2020-04-30
AGIBTC,2018-06-01,2021-05-31
AGIETH,2018-06-01,2020-05-31
AGIXBTC,2021-06-01,
AGIXBUSD,2022-10-01,2023-12-31
AGIXFDUSD,2024-03-01,
AGIXTRY,2023-03-01,
AGIXUSDT,2023-02-01,
AGLDBNB,2021-10-01,2022-05-31
AGLDBTC,2021-10-01,
AGLDBUSD,2021-10-01,2023-11-30
AGLDUSDT,2021-10-01,
AIBNB,2024-01-01,
AIBTC,2024-01-01,
AIFDUSD,2024-01-01,
AIONBNB,2017-12-01,2020-12-31
AIONBTC,2017-12-01,2023-01-31
AIONBUSD,2020-02-01,2020-11-30
AIONETH,2017-12-01,2022-07-31
AIONUSDT,2020-02-01,2023-02-28
AITRY,2024-01-01,
AITUSD,2024-01-01,
AIUSDT,2024-01-01,
AKROBTC,2020-11-01,2022-05-31
AKROBUSD,2022-05-01,2023-11-30
AKROUSDT,2020-11-01,
