symbol,start_date,end_date
1000BONKUSDC,2024-05-01,
1000BONKUSDT,2023-11-01,
1000BTTCUSDT,2022-01-01,2022-04-30
1000FLOKIUSDT,2023-05-01,
1000LUNCBUSD,2022-05-01,2023-12-31
1000LUNCUSDT,2022-09-01,
1000PEPEUSDC,2024-03-01,
1000PEPEUSDT,2023-05-01,
1000RATSUSDT,2023-12-01,
1000SATSUSDT,2023-12-01,
1000SHIBBUSD,2022-07-01,2023-12-31
1000SHIBUSDC,2024-03-01,
1000SHIBUSDT,2021-05-01,
1000XECUSDT,2021-09-01,
1INCHUSDT,2020-12-01,
AAVEUSDT,2020-10-01,
ACEUSDT,2023-12-01,
ACHUSDT,2023-02-01,
ADABUSD,2021-08-01,2023-12-31
ADAUSDT,2020-01-01,
AEVOUSDT,2024-03-01,
AGIXBUSD,2023-01-01,2023-12-31
AGIXUSDT,2023-02-01,
AGLDUSDT,2023-07-01,
AIUSDT,2024-01-01,
AKROUSDT,2021-01-01,2022-05-31
ALGOUSDT,2020-06-01,
ALICEUSDT,2021-03-01,
ALPHAUSDT,2020-11-01,
ALTUSDT,2024-01-01,
AMBBUSD,2022-09-01,2023-12-31
AMBUSDT,2023-03-01,
ANCBUSD,2022-05-01,2023-12-31
ANCUSDT,2022-03-01,2022-05-31
ANKRUSDT,2021-01-01,
ANTUSDT,2021-12-01,
APEBUSD,2022-05-01,2023-12-31
APEUSDT,2022-03-01,
API3USDT,2022-02-01,
APTBUSD,2022-10-01,2023-12-31
APTUSDT,2022-10-01,
ARBUSDC,2024-04-01,
ARBUSDT,2023-03-01,
ARKMUSDT,2023-07-01,
ARKUSDT,2023-09-01,
ARPAUSDT,2021-10-01,
ARUSDT,2021-09-01,
ASTRUSDT,2023-02-01,
ATAUSDT,2021-08-01,
ATOMUSDT,2020-02-01,
AUCTIONBUSD,2022-08-01,2023-12-31
AUCTIONUSDT,2023-12-01,
AUDIOUSDT,2021-08-01,
AVAXBUSD,2022-05-01,2023-12-31
AVAXUSDC,2024-03-01,
AVAXUSDT,2020-09-01,
AXLUSDT,2024-03-01,
AXSUSDT,2020-11-01,
